"","Soil.ID","K_fix","K_mg_kg","K_cmol","Ca_cmol","Mg_cmol","Na_cmol","CEC_cmol","clay_pct","silt_pct","sand_pct","x","y"
"49","JD B",NA,47.5333333333333,0.1,4.605,2.60333333333333,0.251666666666667,8.34666666666667,24.8354557706667,30.7498504613333,44.4146937696667,-121.130495,38.240102
"50","JL EA 1",9.65,35.5,0.1,2.5,0.75,0.15,4.15,8.162601581,2.778155861,89.05924256,-121.039584,38.194334
"51","JL EA 2",84.1,50.55,0.15,3.75,0.85,0,4.55,12.1355499895,5.051138453,82.813311555,-121.039285,38.194337
"52","JL EA 3",-12.65,61.2,0.15,3.65,0.5,0,5.75,16.800250615,8.4860765305,74.713672855,-121.038962,38.194336
"53","JL EA 4",151.85,98.15,0.25,10.25,6.45,0.4,15.1,32.008523635,29.090995805,38.90048056,-121.038385,38.194348
"54","JL NA 1",-330.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.040352,38.192233
"55","JL NA 2",97.35,120,0.3,12.5,6.55,0.25,16.95,31.7118009,41.14971888,27.138480225,-121.040151,38.191467
"56","JL NA 3",-158.85,355.9,0.9,17.05,9.2,0.45,21.5,42.784790905,36.78836533,20.426843765,-121.040282,38.191173
"57","JL NA 4",-19.05,126.9,0.35,12.65,6.7,0.4,19.7,37.546862425,31.885990275,30.567147305,-121.040141,38.19089
"58","JL NA 5",-21.5,237.5,0.6,15.4,7,0.25,18.85,37.500634285,30.527569855,31.971795855,-121.040177,38.190831
"59","JL NA 7",-219.6,291,0.75,11.2,5.4,0.1,14.25,20.990955485,20.787139725,58.22190479,-121.04014,38.190675
"60","JL NA 8",-169.55,213.05,0.55,8,2.6,0,9.55,5.643914501,7.658386129,86.69769937,-121.040216,38.190271
"61","JL NA 9",-650.7,523,1.3,7.3,3.4,0.1,10,10.22456854,12.82051709,76.95491437,-121.040054,38.189817
"62","KTR A",279.92,48.9828571428571,0.115714285714286,10.7457142857143,5.19714285714286,0.1,14.0785714285714,9.80222509234286,40.5892149518571,49.6085599551429,-121.2473114,38.44320722
"63","KTR B",359.95,58.4285714285714,0.14,17.5157142857143,7.49142857142857,0.101428571428571,22.0171428571429,20.5512277758571,58.1971236528571,21.2516485712857,-121.2446734,38.44179966
"64","KTR C",225.89,43.7614285714286,0.107142857142857,7.5,3.60285714285714,0.0528571428571429,9.84857142857143,15.7476507291429,17.7212830602857,66.5310662112857,-121.2383078,38.44710382
"65","KTR D",304.071428571429,58.6714285714286,0.151428571428571,17.0985714285714,6.18571428571429,0.144285714285714,21.1171428571429,27.696533637,48.2559012402857,24.047565124,-121.2303956,38.44710382
"66","KTR E",306.128571428571,67.5428571428571,0.2,19.8857142857143,7.41428571428571,0.2,24.2714285714286,31.0196825128571,52.7730098285714,16.2073076608571,-121.2281918,38.44592096
"67","KTR F",390.614285714286,52.2428571428571,0.128571428571429,16.7857142857143,8.15714285714286,0.285714285714286,21.3142857142857,31.5951703857143,47.8303489485714,20.5744806657143,-121.2316529,38.44197229
"68","KTR G",314.342857142857,46.0714285714286,0.114285714285714,11.3571428571429,5.02857142857143,0.271428571428571,13.4142857142857,21.7743319285714,29.13926,49.0864080714286,-121.2350294,38.4437371
"69","KTR H",405.714285714286,57.3,0.142857142857143,18.5285714285714,9.78571428571429,0.157142857142857,23.2142857142857,34.1143727885714,50.8129848571429,15.0726423557143,-121.2414953,38.44725642
"70","MC 210 A",NA,215.9,0.6,19.4,4.2,0.1,NA,15.34244299,21.63080121,63.0267558,-121.01381,38.248154
"71","MC 210 B",NA,163.314285714286,0.428571428571429,11.4142857142857,4.77142857142857,0.157142857142857,NA,28.9795126942857,23.7103203528571,47.31016695,-121.01419,38.247044
"72","MC 210 C",NA,181.014285714286,0.5,10.7571428571429,4.2,0.1,NA,28.9756976442857,27.7231085157143,43.3011938371429,-121.01435,38.246536
"73","MC 210 D",NA,174.157142857143,0.457142857142857,10.4,5.1,0.114285714285714,NA,28.9240951357143,19.5224796128571,51.5534252542857,-121.01435,38.246178
"74","MC 227 A",-87.1142857142857,127.6,0.328571428571429,10.0571428571429,4.45714285714286,0.157142857142857,NA,30.3264286114286,19.5971363428571,50.0764350457143,-121.01297,38.24904
"75","Pit 1",86.0114285714286,189.4,0.492857142857143,14.6957142857143,4.32571428571429,0.0485714285714286,17.1328571428571,29.6498571428571,25.1147142857143,45.2302857142857,-121.228609,38.080147
"76","Pit 10",172.452857142857,42.9,0.1,9.97714285714286,6.79857142857143,0.291428571428571,15.9371428571429,13.3578571428571,26.0158571428571,60.6164285714286,-121.155875,38.288977
